celltype	marker_gene
CD34_pos_HSC	LINC01475
CD34_pos_HSC	DACH1
CD34_pos_HSC	TRO
CD34_pos_HSC	FOXA3
CD34_pos_HSC	SGIP1
CD34_pos_HSC	NR6A1
CD34_pos_HSC	NCOA7
CD34_pos_HSC	AC027559.1
CD34_pos_HSC	C19orf81
CD34_pos_HSC	PRDM16
CD34_pos_HSC	TARBP1
CD34_pos_HSC	TMEM38B
CD34_pos_HSC	ZNF804A
CD34_pos_HSC	CABLES1
CD34_pos_HSC	MALRD1
CD34_pos_HSC	TMEM17
CD34_pos_HSC	LETMD1
CD34_pos_HSC	EIF2A
CD34_pos_HSC	PPM1H
CD34_pos_HSC	LINC02021
CD34_pos_HSC	FAM83A
CD34_pos_HSC	PRPF6
CD34_pos_HSC	TMEM220-AS1
CD34_pos_HSC	ZNF219
CD34_pos_HSC	IMMP2L
CD34_pos_HSC	LDOC1
CD34_pos_HSC	EEF1AKMT3
CD34_pos_HSC	KIAA1549
CD34_pos_HSC	SYT1
CD34_pos_HSC	LINC01273
CD34_pos_HSC	WIF1
CD34_pos_HSC	LINC02082
CD34_pos_HSC	TMEM272
CD34_pos_HSC	C1orf216
CD34_pos_HSC	NR1H3
CD34_pos_HSC	GMPR2
CD34_pos_HSC	NANOS3
CD34_pos_HSC	DUSP15
CD34_pos_HSC	MCM3AP-AS1
CD34_pos_HSC	ZNF677
CD34_pos_HSC	RGS11
CD34_pos_HSC	SHANK3
CD34_pos_HSC	VIP
CD34_pos_HSC	PWWP3A
CD34_pos_HSC	TAF7L
CD34_pos_HSC	DPY19L2
CD34_pos_HSC	LYSMD2
CD34_pos_HSC	TMEM67
CD34_pos_HSC	MRPS30-DT
CD34_pos_HSC	LINC01765
CD34_pos_HSC	GPC5
CD34_pos_HSC	MIPOL1
CD34_pos_HSC	DDO
CD34_pos_HSC	NIFK-AS1
CD34_pos_HSC	SGCZ
CD34_pos_HSC	LINC02470
CD34_pos_HSC	PTENP1-AS
CD34_pos_HSC	C9orf152
CD34_pos_HSC	SPATA20
CD34_pos_HSC	RIMBP2
CD34_pos_HSC	HESX1
CD34_pos_HSC	GPR21
CD34_pos_HSC	GPRASP2
CD34_pos_HSC	LINC01023
CD34_pos_HSC	ZEB1-AS1
CD34_pos_HSC	SEC24B-AS1
CD34_pos_HSC	LINC00379
CD34_pos_HSC	ABCA13
CD34_pos_HSC	USE1
CD34_pos_HSC	AL445483.1
CD34_pos_HSC	BCO1
CD34_pos_HSC	NT5C3B
CD34_pos_HSC	LRAT
CD34_pos_HSC	RAB9B
CD34_pos_HSC	MPZL2
CD34_pos_HSC	LINC01806
CD34_pos_HSC	NR1I2
CD34_pos_HSC	LINC01106
CD34_pos_HSC	ADAM32
CD34_pos_HSC	LRP6
CD34_pos_HSC	FGF14-AS2
CD34_pos_HSC	ETV5
CD34_pos_HSC	EIF3J-DT
CD34_pos_HSC	NAV2-AS2
CD34_pos_HSC	LINC01473
CD34_pos_HSC	ALDH6A1
CD34_pos_HSC	STOX2
CD34_pos_HSC	ARMCX3
CD34_pos_HSC	FAM228B
CD34_pos_HSC	ASPHD1
CD34_pos_HSC	ZBED3-AS1
CD34_pos_HSC	CCDC102B
CD34_pos_HSC	DNAH10
CD34_pos_HSC	RTKN
CD34_pos_HSC	CRYL1
CD34_pos_HSC	ITGB8
CD34_pos_HSC	KIAA1257
CD34_pos_HSC	ZC3H12C
CD34_pos_HSC	LATS2-AS1
CD34_pos_HSC	TGIF2
CD34_pos_HSC	PLA2G1B
CD34_pos_HSC	GAL3ST3
CD34_pos_HSC	RERG
CD34_pos_HSC	GRIK5
CD34_pos_HSC	IL17D
CD34_pos_HSC	LINC01545
CD34_pos_HSC	PARD3B
CD34_pos_HSC	SLC35G2
